account_id,classification,n_matches,overall_win_rate,changepoints,shift_details,flagged_at
863339931,class4_candidate_downward_shift,1859,0.474,[1485],"[{'match_index': 1485, 'win_rate_before': 0.55, 'win_rate_after': 0.4, 'shift': -0.15}]",2026-07-14T00:26:40.608278+00:00
172195971,class2_3_candidate_upward_shift,1689,0.519,[180],"[{'match_index': 180, 'win_rate_before': 0.35, 'win_rate_after': 0.675, 'shift': 0.325}]",2026-07-14T00:28:10.419245+00:00
228115941,class5_candidate_persistent_underperformance,192,0.438,[],[],2026-07-14T00:28:16.078750+00:00
345304043,class4_candidate_downward_shift,2720,0.515,"[75, 145, 330]","[{'match_index': 75, 'win_rate_before': 0.85, 'win_rate_after': 0.325, 'shift': -0.525}, {'match_index': 145, 'win_rate_before': 0.375, 'win_rate_after': 0.825, 'shift': 0.45}, {'match_index': 330, 'win_rate_before': 0.775, 'win_rate_after': 0.525, 'shift': -0.25}]",2026-07-14T00:29:38.007997+00:00
243827703,class4_candidate_downward_shift,2314,0.509,[415],"[{'match_index': 415, 'win_rate_before': 0.7, 'win_rate_after': 0.45, 'shift': -0.25}]",2026-07-14T00:30:34.158831+00:00
731546331,class4_candidate_downward_shift,1481,0.52,[645],"[{'match_index': 645, 'win_rate_before': 0.625, 'win_rate_after': 0.4, 'shift': -0.225}]",2026-07-14T00:31:44.678030+00:00
444180873,class4_candidate_downward_shift,1113,0.541,[325],"[{'match_index': 325, 'win_rate_before': 0.725, 'win_rate_after': 0.525, 'shift': -0.2}]",2026-07-14T00:31:45.185979+00:00
349077951,class5_candidate_persistent_underperformance,103,0.417,[],[],2026-07-14T00:31:47.535990+00:00
364939883,class2_3_candidate_upward_shift,1046,0.566,"[70, 225]","[{'match_index': 70, 'win_rate_before': 0.5, 'win_rate_after': 0.85, 'shift': 0.35}, {'match_index': 225, 'win_rate_before': 0.8, 'win_rate_after': 0.525, 'shift': -0.275}]",2026-07-14T00:34:07.682188+00:00
212666995,class2_3_candidate_upward_shift,1792,0.493,"[55, 165]","[{'match_index': 55, 'win_rate_before': 0.325, 'win_rate_after': 0.75, 'shift': 0.425}, {'match_index': 165, 'win_rate_before': 0.825, 'win_rate_after': 0.525, 'shift': -0.3}]",2026-07-14T00:34:09.190310+00:00
1278937309,class4_candidate_downward_shift,659,0.516,"[275, 380]","[{'match_index': 275, 'win_rate_before': 0.7, 'win_rate_after': 0.25, 'shift': -0.45}, {'match_index': 380, 'win_rate_before': 0.275, 'win_rate_after': 0.525, 'shift': 0.25}]",2026-07-14T00:35:31.971895+00:00
894173995,class4_candidate_downward_shift,1153,0.542,"[780, 875]","[{'match_index': 780, 'win_rate_before': 0.525, 'win_rate_after': 0.25, 'shift': -0.275}, {'match_index': 875, 'win_rate_before': 0.175, 'win_rate_after': 0.475, 'shift': 0.3}]",2026-07-14T00:37:50.940094+00:00
1184074629,class2_3_candidate_upward_shift,3930,0.517,[3575],"[{'match_index': 3575, 'win_rate_before': 0.425, 'win_rate_after': 0.85, 'shift': 0.425}]",2026-07-14T00:39:05.967102+00:00
192807963,class5_candidate_persistent_underperformance,263,0.369,[],[],2026-07-14T00:42:36.651096+00:00
864226426,class2_3_candidate_upward_shift,1296,0.49,[1205],"[{'match_index': 1205, 'win_rate_before': 0.375, 'win_rate_after': 0.775, 'shift': 0.4}]",2026-07-14T00:43:25.148372+00:00
463872724,class4_candidate_downward_shift,1748,0.491,"[1245, 1455, 1505]","[{'match_index': 1245, 'win_rate_before': 0.6, 'win_rate_after': 0.25, 'shift': -0.35}, {'match_index': 1455, 'win_rate_before': 0.4, 'win_rate_after': 0.85, 'shift': 0.45}, {'match_index': 1505, 'win_rate_before': 0.8, 'win_rate_after': 0.475, 'shift': -0.325}]",2026-07-14T00:43:28.330286+00:00
221548298,class4_candidate_downward_shift,665,0.489,[300],"[{'match_index': 300, 'win_rate_before': 0.675, 'win_rate_after': 0.425, 'shift': -0.25}]",2026-07-14T00:43:28.866542+00:00
413829811,class4_candidate_downward_shift,494,0.526,"[120, 225, 405]","[{'match_index': 120, 'win_rate_before': 0.525, 'win_rate_after': 0.25, 'shift': -0.275}, {'match_index': 225, 'win_rate_before': 0.325, 'win_rate_after': 0.675, 'shift': 0.35}, {'match_index': 405, 'win_rate_before': 0.75, 'win_rate_after': 0.4, 'shift': -0.35}]",2026-07-14T00:47:14.895957+00:00
100860741,class2_3_candidate_upward_shift,387,0.563,[315],"[{'match_index': 315, 'win_rate_before': 0.4, 'win_rate_after': 0.95, 'shift': 0.55}]",2026-07-14T00:48:23.293002+00:00
174884250,class2_3_candidate_upward_shift,1884,0.503,[80],"[{'match_index': 80, 'win_rate_before': 0.2, 'win_rate_after': 0.45, 'shift': 0.25}]",2026-07-14T00:48:27.499771+00:00
24667304,class5_candidate_persistent_underperformance,269,0.442,[],[],2026-07-14T00:48:51.996961+00:00
411632816,class2_3_candidate_upward_shift,754,0.521,"[175, 225]","[{'match_index': 175, 'win_rate_before': 0.5, 'win_rate_after': 0.9, 'shift': 0.4}, {'match_index': 225, 'win_rate_before': 0.85, 'win_rate_after': 0.5, 'shift': -0.35}]",2026-07-14T00:48:52.155350+00:00
459014180,class4_candidate_downward_shift,2113,0.538,"[1430, 1475]","[{'match_index': 1430, 'win_rate_before': 0.5, 'win_rate_after': 0.15, 'shift': -0.35}, {'match_index': 1475, 'win_rate_before': 0.15, 'win_rate_after': 0.825, 'shift': 0.675}]",2026-07-14T00:50:07.339074+00:00
107939302,class2_3_candidate_upward_shift,2997,0.49,"[270, 435]","[{'match_index': 270, 'win_rate_before': 0.425, 'win_rate_after': 0.675, 'shift': 0.25}, {'match_index': 435, 'win_rate_before': 0.675, 'win_rate_after': 0.475, 'shift': -0.2}]",2026-07-14T00:51:11.122241+00:00
1176864269,class2_3_candidate_upward_shift,3062,0.498,"[75, 235, 530]","[{'match_index': 75, 'win_rate_before': 0.4, 'win_rate_after': 0.7, 'shift': 0.3}, {'match_index': 235, 'win_rate_before': 0.7, 'win_rate_after': 0.4, 'shift': -0.3}, {'match_index': 530, 'win_rate_before': 0.325, 'win_rate_after': 0.6, 'shift': 0.275}]",2026-07-14T00:53:21.903234+00:00
139429176,class5_candidate_persistent_underperformance,1692,0.45,[],[],2026-07-14T00:53:23.230973+00:00
320515151,class4_candidate_downward_shift,2810,0.503,"[1980, 2060, 2375]","[{'match_index': 1980, 'win_rate_before': 0.55, 'win_rate_after': 0.25, 'shift': -0.3}, {'match_index': 2060, 'win_rate_before': 0.25, 'win_rate_after': 0.775, 'shift': 0.525}, {'match_index': 2375, 'win_rate_before': 0.6, 'win_rate_after': 0.2, 'shift': -0.4}]",2026-07-14T00:53:26.697123+00:00
192447122,class2_3_candidate_upward_shift,870,0.495,"[55, 775]","[{'match_index': 55, 'win_rate_before': 0.1, 'win_rate_after': 0.625, 'shift': 0.525}, {'match_index': 775, 'win_rate_before': 0.625, 'win_rate_after': 0.3, 'shift': -0.325}]",2026-07-14T00:53:27.339888+00:00
87492233,class5_candidate_persistent_underperformance,149,0.43,[],[],2026-07-14T00:54:47.880873+00:00
378768640,class5_candidate_persistent_underperformance,308,0.347,[],[],2026-07-14T00:54:51.636598+00:00
140115282,class5_candidate_persistent_underperformance,108,0.343,[],[],2026-07-14T00:55:23.155461+00:00
388711387,class4_candidate_downward_shift,2718,0.523,[1110],"[{'match_index': 1110, 'win_rate_before': 0.675, 'win_rate_after': 0.425, 'shift': -0.25}]",2026-07-14T00:56:05.031283+00:00
371754910,class2_3_candidate_upward_shift,5448,0.512,"[5095, 5185]","[{'match_index': 5095, 'win_rate_before': 0.5, 'win_rate_after': 0.875, 'shift': 0.375}, {'match_index': 5185, 'win_rate_before': 0.825, 'win_rate_after': 0.375, 'shift': -0.45}]",2026-07-14T00:59:11.605924+00:00
457705517,class4_candidate_downward_shift,2249,0.528,[2175],"[{'match_index': 2175, 'win_rate_before': 0.625, 'win_rate_after': 0.125, 'shift': -0.5}]",2026-07-14T00:59:42.612888+00:00
1266224704,class4_candidate_downward_shift,286,0.5,[155],"[{'match_index': 155, 'win_rate_before': 0.625, 'win_rate_after': 0.15, 'shift': -0.475}]",2026-07-14T01:02:29.430476+00:00
183264095,class4_candidate_downward_shift,1283,0.539,[980],"[{'match_index': 980, 'win_rate_before': 0.55, 'win_rate_after': 0.4, 'shift': -0.15}]",2026-07-14T01:02:35.790813+00:00
1079673746,class2_3_candidate_upward_shift,1975,0.519,"[75, 250, 880, 1235, 1335, 1690]","[{'match_index': 75, 'win_rate_before': 0.425, 'win_rate_after': 0.775, 'shift': 0.35}, {'match_index': 250, 'win_rate_before': 0.65, 'win_rate_after': 0.425, 'shift': -0.225}, {'match_index': 880, 'win_rate_before': 0.4, 'win_rate_after': 0.65, 'shift': 0.25}, {'match_index': 1235, 'win_rate_before': 0.575, 'win_rate_after': 0.325, 'shift': -0.25}, {'match_index': 1335, 'win_rate_before': 0.225, 'win_rate_after': 0.625, 'shift': 0.4}, {'match_index': 1690, 'win_rate_before': 0.6, 'win_rate_after': 0.25, 'shift': -0.35}]",2026-07-14T01:02:39.130314+00:00
351954263,class4_candidate_downward_shift,7440,0.499,"[6810, 7020]","[{'match_index': 6810, 'win_rate_before': 0.45, 'win_rate_after': 0.3, 'shift': -0.15}, {'match_index': 7020, 'win_rate_before': 0.25, 'win_rate_after': 0.6, 'shift': 0.35}]",2026-07-14T01:05:21.642320+00:00
174466215,class5_candidate_persistent_underperformance,262,0.424,[],[],2026-07-14T01:06:22.657471+00:00
101746145,class4_candidate_downward_shift,476,0.511,[395],"[{'match_index': 395, 'win_rate_before': 0.475, 'win_rate_after': 0.4, 'shift': -0.075}]",2026-07-14T01:07:51.449554+00:00
142837238,class4_candidate_downward_shift,2073,0.526,[325],"[{'match_index': 325, 'win_rate_before': 0.675, 'win_rate_after': 0.5, 'shift': -0.175}]",2026-07-14T01:08:03.130792+00:00
301801631,class2_3_candidate_upward_shift,2605,0.504,[280],"[{'match_index': 280, 'win_rate_before': 0.275, 'win_rate_after': 0.575, 'shift': 0.3}]",2026-07-14T01:10:05.334224+00:00
155157607,class4_candidate_downward_shift,2332,0.529,[540],"[{'match_index': 540, 'win_rate_before': 0.8, 'win_rate_after': 0.45, 'shift': -0.35}]",2026-07-14T01:13:41.162594+00:00
210707567,class4_candidate_downward_shift,496,0.556,[80],"[{'match_index': 80, 'win_rate_before': 0.825, 'win_rate_after': 0.55, 'shift': -0.275}]",2026-07-14T01:13:41.280718+00:00
188851478,class4_candidate_downward_shift,1725,0.565,[460],"[{'match_index': 460, 'win_rate_before': 0.7, 'win_rate_after': 0.4, 'shift': -0.3}]",2026-07-14T01:13:43.710736+00:00
254838051,class2_3_candidate_upward_shift,3549,0.504,"[1230, 1390]","[{'match_index': 1230, 'win_rate_before': 0.55, 'win_rate_after': 0.775, 'shift': 0.225}, {'match_index': 1390, 'win_rate_before': 0.775, 'win_rate_after': 0.5, 'shift': -0.275}]",2026-07-14T01:13:48.134520+00:00
385851920,class2_3_candidate_upward_shift,429,0.676,"[40, 350]","[{'match_index': 40, 'win_rate_before': 0.025, 'win_rate_after': 0.95, 'shift': 0.925}, {'match_index': 350, 'win_rate_before': 0.775, 'win_rate_after': 0.575, 'shift': -0.2}]",2026-07-14T01:18:20.676802+00:00
75089533,class4_candidate_downward_shift,578,0.567,[305],"[{'match_index': 305, 'win_rate_before': 0.725, 'win_rate_after': 0.375, 'shift': -0.35}]",2026-07-14T01:18:20.836311+00:00
348654872,class4_candidate_downward_shift,230,0.6,[150],"[{'match_index': 150, 'win_rate_before': 0.725, 'win_rate_after': 0.3, 'shift': -0.425}]",2026-07-14T01:18:33.711007+00:00
168430880,class2_3_candidate_upward_shift,5138,0.481,"[220, 280]","[{'match_index': 220, 'win_rate_before': 0.35, 'win_rate_after': 0.875, 'shift': 0.525}, {'match_index': 280, 'win_rate_before': 0.875, 'win_rate_after': 0.35, 'shift': -0.525}]",2026-07-14T01:18:47.932881+00:00
910067901,class2_3_candidate_upward_shift,7594,0.505,"[3645, 3990]","[{'match_index': 3645, 'win_rate_before': 0.475, 'win_rate_after': 0.725, 'shift': 0.25}, {'match_index': 3990, 'win_rate_before': 0.725, 'win_rate_after': 0.525, 'shift': -0.2}]",2026-07-14T01:20:58.546525+00:00
333589138,class2_3_candidate_upward_shift,3213,0.519,"[1765, 2950]","[{'match_index': 1765, 'win_rate_before': 0.375, 'win_rate_after': 0.675, 'shift': 0.3}, {'match_index': 2950, 'win_rate_before': 0.725, 'win_rate_after': 0.4, 'shift': -0.325}]",2026-07-14T01:27:56.496264+00:00
154781074,class2_3_candidate_upward_shift,2152,0.509,"[855, 1045, 1610]","[{'match_index': 855, 'win_rate_before': 0.45, 'win_rate_after': 0.825, 'shift': 0.375}, {'match_index': 1045, 'win_rate_before': 0.7, 'win_rate_after': 0.325, 'shift': -0.375}, {'match_index': 1610, 'win_rate_before': 0.375, 'win_rate_after': 0.65, 'shift': 0.275}]",2026-07-14T01:28:11.787601+00:00
112395457,class2_3_candidate_upward_shift,6843,0.501,"[3255, 3360]","[{'match_index': 3255, 'win_rate_before': 0.45, 'win_rate_after': 0.925, 'shift': 0.475}, {'match_index': 3360, 'win_rate_before': 0.85, 'win_rate_after': 0.325, 'shift': -0.525}]",2026-07-14T01:28:30.349782+00:00
22013134,class5_candidate_persistent_underperformance,444,0.432,[],[],2026-07-14T01:28:30.432951+00:00
271255024,class5_candidate_persistent_underperformance,189,0.45,[],[],2026-07-14T01:32:50.502540+00:00
211044802,class4_candidate_downward_shift,2902,0.496,[200],"[{'match_index': 200, 'win_rate_before': 0.675, 'win_rate_after': 0.475, 'shift': -0.2}]",2026-07-14T01:33:46.028826+00:00
182700489,class2_3_candidate_upward_shift,1976,0.572,"[70, 375, 1185, 1480, 1650, 1745]","[{'match_index': 70, 'win_rate_before': 0.5, 'win_rate_after': 0.75, 'shift': 0.25}, {'match_index': 375, 'win_rate_before': 0.725, 'win_rate_after': 0.525, 'shift': -0.2}, {'match_index': 1185, 'win_rate_before': 0.5, 'win_rate_after': 0.9, 'shift': 0.4}, {'match_index': 1480, 'win_rate_before': 0.85, 'win_rate_after': 0.35, 'shift': -0.5}, {'match_index': 1650, 'win_rate_before': 0.35, 'win_rate_after': 0.625, 'shift': 0.275}, {'match_index': 1745, 'win_rate_before': 0.775, 'win_rate_after': 0.25, 'shift': -0.525}]",2026-07-14T01:33:46.957996+00:00
74122753,class5_candidate_persistent_underperformance,321,0.421,[],[],2026-07-14T01:34:00.847830+00:00
205636927,class5_candidate_persistent_underperformance,946,0.449,[],[],2026-07-14T01:35:26.023692+00:00
1251608958,class4_candidate_downward_shift,364,0.5,[115],"[{'match_index': 115, 'win_rate_before': 0.625, 'win_rate_after': 0.4, 'shift': -0.225}]",2026-07-14T01:36:30.085122+00:00
213966554,class2_3_candidate_upward_shift,952,0.582,[670],"[{'match_index': 670, 'win_rate_before': 0.525, 'win_rate_after': 0.7, 'shift': 0.175}]",2026-07-14T01:37:34.918853+00:00
467403114,class2_3_candidate_upward_shift,2105,0.539,"[520, 700, 890, 960, 1615, 2025]","[{'match_index': 520, 'win_rate_before': 0.425, 'win_rate_after': 0.675, 'shift': 0.25}, {'match_index': 700, 'win_rate_before': 0.65, 'win_rate_after': 0.45, 'shift': -0.2}, {'match_index': 890, 'win_rate_before': 0.3, 'win_rate_after': 0.825, 'shift': 0.525}, {'match_index': 960, 'win_rate_before': 0.8, 'win_rate_after': 0.525, 'shift': -0.275}, {'match_index': 1615, 'win_rate_before': 0.425, 'win_rate_after': 0.675, 'shift': 0.25}, {'match_index': 2025, 'win_rate_before': 0.625, 'win_rate_after': 0.375, 'shift': -0.25}]",2026-07-14T01:39:13.191128+00:00
60401892,class5_candidate_persistent_underperformance,548,0.38,[],[],2026-07-14T01:39:54.763410+00:00
136547953,class2_3_candidate_upward_shift,7099,0.5,[6625],"[{'match_index': 6625, 'win_rate_before': 0.4, 'win_rate_after': 0.7, 'shift': 0.3}]",2026-07-14T01:40:11.009443+00:00
170772598,class2_3_candidate_upward_shift,4578,0.523,"[1895, 2025, 2630, 2835, 3450, 4520]","[{'match_index': 1895, 'win_rate_before': 0.475, 'win_rate_after': 0.775, 'shift': 0.3}, {'match_index': 2025, 'win_rate_before': 0.825, 'win_rate_after': 0.525, 'shift': -0.3}, {'match_index': 2630, 'win_rate_before': 0.725, 'win_rate_after': 0.3, 'shift': -0.425}, {'match_index': 2835, 'win_rate_before': 0.3, 'win_rate_after': 0.55, 'shift': 0.25}, {'match_index': 3450, 'win_rate_before': 0.325, 'win_rate_after': 0.75, 'shift': 0.425}, {'match_index': 4520, 'win_rate_before': 0.675, 'win_rate_after': 0.125, 'shift': -0.55}]",2026-07-14T01:40:32.146003+00:00
377357035,class2_3_candidate_upward_shift,1413,0.528,"[155, 755]","[{'match_index': 155, 'win_rate_before': 0.425, 'win_rate_after': 0.7, 'shift': 0.275}, {'match_index': 755, 'win_rate_before': 0.6, 'win_rate_after': 0.375, 'shift': -0.225}]",2026-07-14T01:42:20.894199+00:00
298959435,class2_3_candidate_upward_shift,2418,0.498,"[190, 240, 415, 535, 800, 890, 1025, 1360]","[{'match_index': 190, 'win_rate_before': 0.475, 'win_rate_after': 0.9, 'shift': 0.425}, {'match_index': 240, 'win_rate_before': 0.975, 'win_rate_after': 0.4, 'shift': -0.575}, {'match_index': 415, 'win_rate_before': 0.475, 'win_rate_after': 0.725, 'shift': 0.25}, {'match_index': 535, 'win_rate_before': 0.825, 'win_rate_after': 0.5, 'shift': -0.325}, {'match_index': 800, 'win_rate_before': 0.275, 'win_rate_after': 0.725, 'shift': 0.45}, {'match_index': 890, 'win_rate_before': 0.95, 'win_rate_after': 0.275, 'shift': -0.675}, {'match_index': 1025, 'win_rate_before': 0.35, 'win_rate_after': 0.5, 'shift': 0.15}, {'match_index': 1360, 'win_rate_before': 0.725, 'win_rate_after': 0.375, 'shift': -0.35}]",2026-07-14T01:49:00.557680+00:00
1419316940,class2_3_candidate_upward_shift,738,0.583,[570],"[{'match_index': 570, 'win_rate_before': 0.45, 'win_rate_after': 0.85, 'shift': 0.4}]",2026-07-14T01:49:24.256695+00:00
109772891,class5_candidate_persistent_underperformance,373,0.432,[],[],2026-07-14T01:49:31.867724+00:00
194437290,class5_candidate_persistent_underperformance,291,0.433,[],[],2026-07-14T01:50:27.250040+00:00
397952044,class2_3_candidate_upward_shift,642,0.502,[500],"[{'match_index': 500, 'win_rate_before': 0.5, 'win_rate_after': 0.8, 'shift': 0.3}]",2026-07-14T01:50:59.740489+00:00
299927068,class4_candidate_downward_shift,468,0.5,[240],"[{'match_index': 240, 'win_rate_before': 0.675, 'win_rate_after': 0.4, 'shift': -0.275}]",2026-07-14T01:51:16.274819+00:00
85724133,class5_candidate_persistent_underperformance,496,0.448,[],[],2026-07-14T01:52:58.804327+00:00
140485342,class2_3_candidate_upward_shift,855,0.545,"[690, 790]","[{'match_index': 690, 'win_rate_before': 0.525, 'win_rate_after': 0.925, 'shift': 0.4}, {'match_index': 790, 'win_rate_before': 0.9, 'win_rate_after': 0.55, 'shift': -0.35}]",2026-07-14T01:57:05.688391+00:00
74301832,class5_candidate_persistent_underperformance,248,0.403,[],[],2026-07-14T01:57:41.070905+00:00
46522776,class4_candidate_downward_shift,501,0.487,[455],"[{'match_index': 455, 'win_rate_before': 0.75, 'win_rate_after': 0.225, 'shift': -0.525}]",2026-07-14T01:57:41.193471+00:00
113977389,class5_candidate_persistent_underperformance,182,0.423,[],[],2026-07-14T01:57:46.149175+00:00
371049911,class2_3_candidate_upward_shift,1958,0.537,"[1640, 1715]","[{'match_index': 1640, 'win_rate_before': 0.4, 'win_rate_after': 0.775, 'shift': 0.375}, {'match_index': 1715, 'win_rate_before': 0.875, 'win_rate_after': 0.425, 'shift': -0.45}]",2026-07-14T01:57:58.598393+00:00
257566939,class5_candidate_persistent_underperformance,206,0.432,[],[],2026-07-14T01:57:58.613678+00:00
442239155,class4_candidate_downward_shift,1075,0.526,[625],"[{'match_index': 625, 'win_rate_before': 0.65, 'win_rate_after': 0.475, 'shift': -0.175}]",2026-07-14T01:59:25.223274+00:00
327618089,class2_3_candidate_upward_shift,1156,0.552,[1010],"[{'match_index': 1010, 'win_rate_before': 0.425, 'win_rate_after': 0.825, 'shift': 0.4}]",2026-07-14T01:59:30.137471+00:00
162433771,class2_3_candidate_upward_shift,7219,0.502,"[95, 240]","[{'match_index': 95, 'win_rate_before': 0.5, 'win_rate_after': 0.825, 'shift': 0.325}, {'match_index': 240, 'win_rate_before': 0.925, 'win_rate_after': 0.425, 'shift': -0.5}]",2026-07-14T02:01:25.981429+00:00
909116184,class4_candidate_downward_shift,1611,0.51,[695],"[{'match_index': 695, 'win_rate_before': 0.575, 'win_rate_after': 0.325, 'shift': -0.25}]",2026-07-14T02:01:35.121360+00:00
130287930,class4_candidate_downward_shift,6731,0.505,[1320],"[{'match_index': 1320, 'win_rate_before': 0.575, 'win_rate_after': 0.4, 'shift': -0.175}]",2026-07-14T02:03:17.756916+00:00
149096791,class5_candidate_persistent_underperformance,520,0.41,[],[],2026-07-14T02:03:17.867383+00:00
367050870,class2_3_candidate_upward_shift,1060,0.558,"[145, 440]","[{'match_index': 145, 'win_rate_before': 0.125, 'win_rate_after': 0.6, 'shift': 0.475}, {'match_index': 440, 'win_rate_before': 0.725, 'win_rate_after': 0.575, 'shift': -0.15}]",2026-07-14T02:04:22.375220+00:00
295403707,class2_3_candidate_upward_shift,1837,0.535,"[145, 325]","[{'match_index': 145, 'win_rate_before': 0.45, 'win_rate_after': 0.825, 'shift': 0.375}, {'match_index': 325, 'win_rate_before': 0.825, 'win_rate_after': 0.425, 'shift': -0.4}]",2026-07-14T02:05:45.603990+00:00
128248888,class2_3_candidate_upward_shift,1350,0.476,"[230, 270]","[{'match_index': 230, 'win_rate_before': 0.5, 'win_rate_after': 0.875, 'shift': 0.375}, {'match_index': 270, 'win_rate_before': 0.875, 'win_rate_after': 0.325, 'shift': -0.55}]",2026-07-14T02:11:15.484576+00:00
295929907,class2_3_candidate_upward_shift,963,0.456,[210],"[{'match_index': 210, 'win_rate_before': 0.375, 'win_rate_after': 0.5, 'shift': 0.125}]",2026-07-14T02:14:29.595591+00:00
